States,likelihood,aic_vect,bic_vect
2.000000,-15520.587273,31089.174546,31229.104761
3.000000,-15192.876526,30463.753052,30691.139651
4.000000,-13498.238270,27108.476541,27434.980376
5.000000,-12529.843039,25209.686078,25646.967999
6.000000,-12841.525338,25875.050677,26434.771536
7.000000,-14278.730118,28795.460236,29489.280884
8.000000,-13049.296678,26386.593355,27226.174644
9.000000,-11090.273217,22522.546435,23519.549216
10.000000,-10731.507060,21863.014120,23029.099244
11.000000,-12381.531765,25225.063529,26571.891847
12.000000,-10698.654527,21925.309053,23464.541416
13.000000,-13927.102696,28452.205391,30195.502651
14.000000,-11390.833721,23453.667443,25412.690450
