States,likelihood,aic_vect,bic_vect
2.000000,-7441.709725,14947.419449,15124.239929
3.000000,-6867.705170,13837.410341,14119.217980
4.000000,-5581.677245,11307.354489,11705.200568
5.000000,-6318.368814,12826.737627,13351.673425
6.000000,-5549.520393,11339.040785,12002.117582
7.000000,-6013.070452,12320.140905,13132.409981
8.000000,-4852.719723,10057.439445,11029.952081
9.000000,-5135.624010,10685.248019,11829.055494
10.000000,-6232.490528,12944.981056,14271.134650
11.000000,-5067.713545,10685.427090,12204.978084
12.000000,-5735.531218,12095.062437,13819.062109
13.000000,-4939.462092,10580.924184,12520.423815
14.000000,-4818.619573,10421.239147,12587.290017
