States,likelihood,aic_vect,bic_vect
2.000000,-14937.100487,29938.200973,30124.774593
3.000000,-13371.915429,26845.830859,27143.182565
4.000000,-13408.618205,26961.236409,27381.027054
5.000000,-12313.482509,24816.965018,25370.855452
6.000000,-11857.812011,23955.624023,24655.275097
7.000000,-14340.713781,28975.427562,29832.500128
8.000000,-15143.347732,30638.695463,31664.850372
9.000000,-11882.437453,24178.874906,25385.773009
10.000000,-11490.555278,23461.110556,24860.412705
11.000000,-11444.102751,23438.205502,25041.572547
12.000000,-12336.776164,25297.552328,27116.645121
13.000000,-11664.709761,24031.419522,26077.898914
14.000000,-11917.976918,24619.953837,26905.480679
